11/19/18|11/23/18	Thanksgiving Break
12/24/18|1/4/19	Winter Break

1
P1	8:05-8:49
P2	8:54-9:38
Break	9:38-9:51
P3	9:54-10:38
P4	10:43-11:27
Meeting	11:32-11:50
Lunch 1 (7/8th)	11:50-12:22
Lunch 2 (6th)	12:22-12:52
P5	12:57-1:41
P6	1:46-2:30
P7	2:35-3:19
Extra Help	3:19-3:35

2
P1	8:05-8:47
P2	8:52-9:34
Break	9:34-9:47
Advisory	9:50-10:05
P3	10:10-10:52
P4	10:57-11:39
Lunch 1 (7/8th)	11:39-12:11
Lunch 2 (6th)	12:11-12:41
P5	12:46-1:28
P6	1:33-2:15
P7	2:20-3:02
Extra Help||Extra Help|Clubs	3:02-3:35||3:02-3:15|3:15-3:35

3
Faculty Meeting	7:45-8:20
P1	8:30-9:12
P2	9:17-9:59
Break	9:59-10:12
P3	10:15-10:57
P4	11:02-11:44
Lunch 1 (7/8th)	11:44-12:16
Lunch 2 (6th)	12:16-12:46
P5	12:51-1:33
P6	1:38-2:20
P7	2:25-3:07
Extra Help	3:07-3:20

4
P1	8:05-8:47
P2	8:52-9:34
Break	9:34-9:47
Advisory	9:50-10:05
P3	10:10-10:52
P4	10:57-11:39
Lunch 1 (7/8th)	11:39-12:11
Lunch 2 (6th)	12:11-12:41
P5	12:46-1:28
P6	1:33-2:15
P7	2:20-3:02
Extra Help||Extra Help|Clubs	3:02-3:35||3:02-3:15|3:15-3:35

5
P1	8:05-8:46
P2	8:51-9:32
Break	9:32-9:42
P3	9:45-10:26
P4	10:31-11:12
Lunch 1 (7/8th)	11:12-11:42
Lunch 2 (6th)	11:42-12:10
P5	12:15-12:56
P6	1:01-1:42
P7	1:47-2:28
Advisory	2:33-2:45
Assembly	2:50-3:35
